Year,Period,Label,Value,12-Month % Change,Month
2020,M07,2020 Jul,118.7,0.6,7/31/2020
2020,M08,2020 Aug,118.8,0.5,8/31/2020
2020,M09,2020 Sep,119.1,1,9/30/2020
2020,M10,2020 Oct,119.7,1.3,10/31/2020
2020,M11,2020 Nov,119.7,1.4,11/30/2020
2020,M12,2020 Dec,119.9,1.4,12/31/2020
2021,M01,2021 Jan,120.9,1.9,1/31/2021
2021,M02,2021 Feb,121.3,2.6,2/28/2021
2021,M03,2021 Mar,121.9,3,3/31/2021
2021,M04,2021 Apr,123.2,4.5,4/30/2021
2021,M05,2021 May,124.2,5.3,5/31/2021
2021,M06,2021 Jun,125,5.8,6/30/2021
2021,M07,2021 Jul,126.248,6.4,7/31/2021
2021,M08,2021 Aug,127.228,7.1,8/31/2021
2021,M09,2021 Sep,127.473,7,9/30/2021
2021,M10,2021 Oct,128.043,7,10/31/2021
2021,M11,2021 Nov,129.357,8.1,11/30/2021
2021,M12,2021 Dec,130.273,8.7,12/31/2021
2022,M01,2022 Jan,131.345,8.6,1/31/2022
2022,M02,2022 Feb,132.097,8.9,2/28/2022
2022,M03,2022 Mar,133.714,9.7,3/31/2022
2022,M04,2022 Apr,134.307,9,4/30/2022
2022,M05,2022 May,134.957,8.7,5/31/2022
2022,M06,2022 Jun,135.305,8.2,6/30/2022
2022,M07,2022 Jul,135.844,7.6,7/31/2022
2022,M08,2022 Aug,136.4,7.2,8/31/2022
2022,M09,2022 Sep,136.618,7.2,9/30/2022
2022,M10,2022 Oct,136.913,6.9,10/31/2022
2022,M11,2022 Nov,137.449,6.3,11/30/2022
2022,M12,2022 Dec,137.722,5.7,12/31/2022
2023,M01,2023 Jan,137.978,5.1,1/31/2023
2023,M02,2023 Feb,138.29,4.7,2/28/2023
2023,M03,2023 Mar,138.24,3.4,3/31/2023
2023,M04,2023 Apr,138.559,3.2,4/30/2023
2023,M05,2023 May,138.752,2.8,5/31/2023
2023,M06,2023 Jun,138.7,2.5,6/30/2023
2023,M07,2023 Jul,139.522,2.7,7/31/2023
2023,M08,2023 Aug,139.788,2.5,8/31/2023
2023,M09,2023 Sep,139.761,2.3,9/30/2023
2023,M10,2023 Oct,139.862,2.2,10/31/2023
2023,M11,2023 Nov,140.104,1.9,11/30/2023
2023,M12,2023 Dec,140.174,1.8,12/31/2023
2024,M01,2024 Jan,140.757,2,1/31/2024
2024,M02,2024 Feb,141.2,2.1,2/29/2024
2024,M03,2024 Mar,141.375,2.3,3/31/2024
2024,M04,2024 Apr,142.07,2.5,4/30/2024
2024,M05,2024 May,142.479,2.7,5/31/2024
2024,M06,2024 Jun,143.245,3.3,6/30/2024
2024,M07,2024 Jul,143.137,2.6,7/31/2024
2024,M08,2024 Aug,143.756,2.8,8/31/2024
2024,M09,2024 Sep,144.376,3.3,9/30/2024
2024,M10,2024 Oct,144.897,3.6,10/31/2024
2024,M11,2024 Nov,144.836,3.4,11/30/2024
2024,M12,2024 Dec,145.431,3.8,12/31/2024
2025,M01,2025 Jan,146.247,3.9,1/31/2025
2025,M02,2025 Feb,146.477,3.7,2/28/2025
2025,M03,2025 Mar,147.061,4,3/31/2025
2025,M04,2025 Apr,146.41,3.1,4/30/2025
