Year,Period,Label,Value,12-Month % Change,Month
2021,M12,2021 Dec,132.252,10.2,12/31/2021
2022,M01,2022 Jan,133.579,10.2,1/31/2022
2022,M02,2022 Feb,134.79,10.5,2/28/2022
2022,M03,2022 Mar,137.041,11.6,3/31/2022
2022,M04,2022 Apr,137.792,11,4/30/2022
2022,M05,2022 May,139.044,11,5/31/2022
2022,M06,2022 Jun,140.256,11.1,6/30/2022
2022,M07,2022 Jul,139.823,9.7,7/31/2022
2022,M08,2022 Aug,139.739,8.7,8/31/2022
2022,M09,2022 Sep,140.212,8.5,9/30/2022
2022,M10,2022 Oct,140.647,8.2,10/31/2022
2022,M11,2022 Nov,141.075,7.4,11/30/2022
2022,M12,2022 Dec,140.707,6.4,12/31/2022
2023,M01,2023 Jan,141.306,5.8,1/31/2023
2023,M02,2023 Feb,141.187,4.7,2/28/2023
2023,M03,2023 Mar,140.743,2.7,3/31/2023
2023,M04,2023 Apr,140.97,2.3,4/30/2023
2023,M05,2023 May,140.667,1.2,5/31/2023
2023,M06,2023 Jun,140.673,0.3,6/30/2023
2023,M07,2023 Jul,141.443,1.2,7/31/2023
2023,M08,2023 Aug,142.367,1.9,8/31/2023
2023,M09,2023 Sep,142.737,1.8,9/30/2023
2023,M10,2023 Oct,142.202,1.1,10/31/2023
2023,M11,2023 Nov,142.26,0.8,11/30/2023
2023,M12,2023 Dec,142.206,1.1,12/31/2023
2024,M01,2024 Jan,142.713,1,1/31/2024
2024,M02,2024 Feb,143.432,1.6,2/29/2024
2024,M03,2024 Mar,143.513,2,3/31/2024
2024,M04,2024 Apr,144.208,2.3,4/30/2024
2024,M05,2024 May,144.255,2.6,5/31/2024
2024,M06,2024 Jun,144.829,3,6/30/2024
2024,M07,2024 Jul,144.869,2.4,7/31/2024
2024,M08,2024 Aug,145.36,2.1,8/31/2024
2024,M09,2024 Sep,145.792,2.1,9/30/2024
2024,M10,2024 Oct,146.242,2.8,10/31/2024
2024,M11,2024 Nov,146.391,2.9,11/30/2024
2024,M12,2024 Dec,147.126,3.5,12/31/2024
2025,M01,2025 Jan,148.111,3.8,1/31/2025
2025,M02,2025 Feb,148.345,3.4,2/28/2025
2025,M03,2025 Mar,148.374,3.4,3/31/2025
2025,M04,2025 Apr,147.677,2.4,4/30/2025
