Year,Period,Label,Value,12-Month % Change,Month
1972,M06,1972 Jun,41.7,3,6/30/1972
1972,M07,1972 Jul,41.8,3,7/31/1972
1972,M08,1972 Aug,41.9,2.9,8/31/1972
1972,M09,1972 Sep,42.1,3.2,9/30/1972
1972,M10,1972 Oct,42.2,3.2,10/31/1972
1972,M11,1972 Nov,42.4,3.4,11/30/1972
1972,M12,1972 Dec,42.5,3.4,12/31/1972
1973,M01,1973 Jan,42.7,3.6,1/31/1973
1973,M02,1973 Feb,43,3.9,2/28/1973
1973,M03,1973 Mar,43.4,4.8,3/31/1973
1973,M04,1973 Apr,43.7,5.3,4/30/1973
1973,M05,1973 May,43.9,5.5,5/31/1973
1973,M06,1973 Jun,44.2,6,6/30/1973
1973,M07,1973 Jul,44.2,5.7,7/31/1973
1973,M08,1973 Aug,45,7.4,8/31/1973
1973,M09,1973 Sep,45.2,7.4,9/30/1973
1973,M10,1973 Oct,45.6,8.1,10/31/1973
1973,M11,1973 Nov,45.9,8.3,11/30/1973
1973,M12,1973 Dec,46.3,8.9,12/31/1973
1974,M01,1974 Jan,46.8,9.6,1/31/1974
1974,M02,1974 Feb,47.3,10,2/28/1974
1974,M03,1974 Mar,47.8,10.1,3/31/1974
1974,M04,1974 Apr,48.1,10.1,4/30/1974
1974,M05,1974 May,48.6,10.7,5/31/1974
1974,M06,1974 Jun,49,10.9,6/30/1974
1974,M07,1974 Jul,49.3,11.5,7/31/1974
1974,M08,1974 Aug,49.9,10.9,8/31/1974
1974,M09,1974 Sep,50.6,11.9,9/30/1974
1974,M10,1974 Oct,51,11.8,10/31/1974
1974,M11,1974 Nov,51.5,12.2,11/30/1974
1974,M12,1974 Dec,51.9,12.1,12/31/1974
1975,M01,1975 Jan,52.3,11.8,1/31/1975
1975,M02,1975 Feb,52.6,11.2,2/28/1975
1975,M03,1975 Mar,52.8,10.5,3/31/1975
1975,M04,1975 Apr,53,10.2,4/30/1975
1975,M05,1975 May,53.1,9.3,5/31/1975
1975,M06,1975 Jun,53.5,9.2,6/30/1975
1975,M07,1975 Jul,54,9.5,7/31/1975
1975,M08,1975 Aug,54.2,8.6,8/31/1975
1975,M09,1975 Sep,54.6,7.9,9/30/1975
1975,M10,1975 Oct,54.9,7.6,10/31/1975
1975,M11,1975 Nov,55.3,7.4,11/30/1975
1975,M12,1975 Dec,55.6,7.1,12/31/1975
1976,M01,1976 Jan,55.8,6.7,1/31/1976
1976,M02,1976 Feb,55.9,6.3,2/29/1976
1976,M03,1976 Mar,56,6.1,3/31/1976
1976,M04,1976 Apr,56.1,5.8,4/30/1976
1976,M05,1976 May,56.4,6.2,5/31/1976
1976,M06,1976 Jun,56.7,6,6/30/1976
1976,M07,1976 Jul,57,5.6,7/31/1976
1976,M08,1976 Aug,57.3,5.7,8/31/1976
1976,M09,1976 Sep,57.6,5.5,9/30/1976
1976,M10,1976 Oct,57.9,5.5,10/31/1976
1976,M11,1976 Nov,58.1,5.1,11/30/1976
1976,M12,1976 Dec,58.4,5,12/31/1976
1977,M01,1977 Jan,58.7,5.2,1/31/1977
1977,M02,1977 Feb,59.3,6.1,2/28/1977
1977,M03,1977 Mar,59.6,6.4,3/31/1977
1977,M04,1977 Apr,60,7,4/30/1977
1977,M05,1977 May,60.2,6.7,5/31/1977
1977,M06,1977 Jun,60.5,6.7,6/30/1977
1977,M07,1977 Jul,60.8,6.7,7/31/1977
1977,M08,1977 Aug,61.1,6.6,8/31/1977
1977,M09,1977 Sep,61.3,6.4,9/30/1977
1977,M10,1977 Oct,61.6,6.4,10/31/1977
1977,M11,1977 Nov,62,6.7,11/30/1977
1977,M12,1977 Dec,62.3,6.7,12/31/1977
1978,M01,1978 Jan,62.7,6.8,1/31/1978
1978,M02,1978 Feb,63,6.2,2/28/1978
1978,M03,1978 Mar,63.4,6.4,3/31/1978
1978,M04,1978 Apr,63.9,6.5,4/30/1978
1978,M05,1978 May,64.5,7.1,5/31/1978
1978,M06,1978 Jun,65,7.4,6/30/1978
1978,M07,1978 Jul,65.5,7.7,7/31/1978
1978,M08,1978 Aug,65.9,7.9,8/31/1978
1978,M09,1978 Sep,66.5,8.5,9/30/1978
1978,M10,1978 Oct,67.1,8.9,10/31/1978
1978,M11,1978 Nov,67.5,8.9,11/30/1978
1978,M12,1978 Dec,67.9,9,12/31/1978
1979,M01,1979 Jan,68.5,9.3,1/31/1979
1979,M02,1979 Feb,69.2,9.8,2/28/1979
1979,M03,1979 Mar,69.9,10.3,3/31/1979
1979,M04,1979 Apr,70.6,10.5,4/30/1979
1979,M05,1979 May,71.4,10.7,5/31/1979
1979,M06,1979 Jun,72.2,11.1,6/30/1979
1979,M07,1979 Jul,73,11.5,7/31/1979
1979,M08,1979 Aug,73.7,11.8,8/31/1979
1979,M09,1979 Sep,74.4,11.9,9/30/1979
1979,M10,1979 Oct,75.2,12.1,10/31/1979
1979,M11,1979 Nov,76,12.6,11/30/1979
1979,M12,1979 Dec,76.9,13.3,12/31/1979
1980,M01,1980 Jan,78,13.9,1/31/1980
1980,M02,1980 Feb,79,14.2,2/29/1980
1980,M03,1980 Mar,80.1,14.6,3/31/1980
1980,M04,1980 Apr,80.9,14.6,4/30/1980
